<s>,<utt>,<utt>/<s>,speakers
2,556,278,51
4,323,80.75,17
4,130,32.5,18
6,231,38.5,17
5,285,57,21
4,99,24.75,21
3,173,57.66666667,16
1,152,152,20
1,146,146,10
2,406,203,35
89,675,7.584269663,66
69,883,12.79710145,71
59,604,10.23728814,41
78,692,8.871794872,53
Total, , ,
327,5355,16.37614679,
